no,X,Y,OBJECTID,BBY_PID,LOT_ID,GIS_ID,LTO_PID,ST_UNIT,ST_NMBR,ST_NAME,ST_TYPE,ST_SFX,UNIT,ADDRESS,PLAN,DL,BLOCK,LOT,STRATA,AIR_SPACE,AGGREGATE,AGGR_ROLL,CASENO,STATUS,CASE_TYPE,PID,CASE_BUS_TR_NAME,serviceProvded,CASE_BUS_TYPE_DESC,BUS_CLASS_UNITS,BUS_CLASS_NO,BUS_CLASS_DESC,APPLYDATE,ISSUEDATE,EXPIRYDATE,LICENCESTATUS,NAME_LAST
93,-123.004875,49.2291041,93,000-058-695,107868,7336,024-489-263,1003,4500,KINGSWAY,,,1003,4500 KINGSWAY,LMS3863,153, ,3,N,N,N,,BUS00-01371,Approved,,000-057-404,SUNSHINE CAFE,n,23 seats,Seats,23,Restaurant,2000-07-28T07:00:00.000Z,2019-01-01T08:03:59.000Z,2019-12-31T08:00:00.000Z,Approved,SUN SHINE HOUSE FOOD GROUP LTD
107,-122.9182228,49.27644901,107,000-074-853,112962,39922,028-300-131,SCE,8888,UNIVERSITY,DR,,SCE,8888 UNIVERSITY DR,BCP45523,31,,1,N,N,N,,BUS00-01510,Approved,,000-074-853,RENAISSANCE COFFEE CO,n,Coffee bar,Seats,0,Restaurant,2000-08-24T07:00:00.000Z,2019-01-01T08:01:24.000Z,2019-12-31T08:00:00.000Z,Approved,PARMINDER PARHAR
452,-122.9679517,49.27967199,452,000-081-900,119651,16821,029-859-654,101,6568,HASTINGS,ST,,101,6500 HASTINGS ST,EPP56618,206, ,1,N,N,N,,BUS03-00621,Approved,,000-081-900,STARBUCKS COFFEE #4453,y,Cafe/Retail,Seats,20,Restaurant,2003-02-11T08:00:00.000Z,2018-12-08T08:02:15.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
695,-122.9978483,49.22536145,695,000-070-299,112146,27997,025-702-254,320,4820,KINGSWAY,,,320,4800 KINGSWAY,BCP6303,32, ,1,N,N,N,,BUS04-01319,Approved,,000-070-299,TIM HORTONS #407,y,Take out,Seats,0,Restaurant,2004-06-11T07:00:00.000Z,2018-12-04T08:00:28.000Z,2019-12-31T08:00:00.000Z,Approved,2904586 CANADA INC
707,-122.9562358,49.2190344,707,000-061-597,103611,16620,025-742-795,125,7155,KINGSWAY,,,125,7155 KINGSWAY,BCP6930,95,,F,N,N,N,,BUS04-01482,Approved,,000-061-597,STARBUCKS COFFEE #4539,y,20 Seat Cafe & Retail,Seats,20,Restaurant,2004-07-19T07:00:00.000Z,2018-12-08T08:01:11.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
750,-122.8934901,49.2485618,750,000-055-484,17845,5925,003-200-884, ,3965,NORTH,RD,, ,3965 NORTH RD,NWP31308,4, ,53,N,N,N,,BUS04-01929,Approved,,000-055-484,TIM HORTONS,y,5 seats,Seats,5,Restaurant,2004-10-14T07:00:00.000Z,2018-11-30T08:00:56.000Z,2019-12-31T08:00:00.000Z,Approved,474722 BC LTD
849,-122.9978483,49.22536145,849,000-070-299,112146,27997,025-702-254,347,4820,KINGSWAY,,,347,4800 KINGSWAY,BCP6303,32, ,1,N,N,N,,BUS05-00790,Approved,,000-070-299,STARBUCKS COFFEE #4610,y,Take out coffee & retail,Seats,0,Restaurant,2005-03-16T07:00:00.000Z,2018-12-08T08:02:27.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
888,-123.0026587,49.2660828,888,000-011-485,12294,17190,002-687-496, ,4512,LOUGHEED,HWY,, ,4514 LOUGHEED HY,NWP32911,124, ,120,N,N,N,,BUS05-01112,Approved,,000-011-485,TIM HORTONS,y,Take out service,Seats,0,Restaurant,2005-05-05T07:00:00.000Z,2018-12-06T08:00:48.000Z,2019-12-31T08:00:00.000Z,Approved,ARIVLE ENTERPRISES LTD
903,-123.0179516,49.28063069,903,000-003-264,4390,20241,004-348-885, ,3980,HASTINGS,ST,, ,3900 HASTINGS ST,NWS2406,116, ,26,Y,N,N,,BUS05-01237,Approved,,000-003-386,BIG SHOTS CAFE,n,45 seat cafe,Seats,45,Restaurant,2005-05-27T07:00:00.000Z,2018-12-20T19:22:57.000Z,2019-12-31T08:00:00.000Z,Approved,CHICO PIRES & ROB ALVAREZ
1051,-123.0132054,49.26374599,1051,000-064-280,110231,27105,026-549-751, ,4122,DAWSON,ST,, ,4118 DAWSON ST,BCS1666,119, ,1,Y,N,N,,BUS06-00687,Approved,,000-064-434,STARBUCKS COFFEE #4660,y,24 Seat,Seats,24,Restaurant,2006-03-09T08:00:00.000Z,2018-12-08T08:01:43.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
1165,-122.9816665,49.2002944,1165,000-063-752,108426,19343,026-520-486, ,7380,MARKET,CROS,, ,7200 MARKET XG,BCP21081,155B, ,1,N,N,N,,BUS06-02071,Approved,,000-063-752,TIM HORTONS,y,70 seat/drive thru,Seats,70,Restaurant,2006-11-21T08:00:00.000Z,2018-11-30T08:00:58.000Z,2019-12-31T08:00:00.000Z,Approved,474722 BC LTD
1296,-122.9956852,49.22771827,1296,000-071-108,112035,29193,026-339-374, ,4847,KINGSWAY,,, ,4803 KINGSWAY,BCP18154,32,,1,N,N,N,,BUS07-01185,Approved,,000-071-108,STARBUCKS COFFEE #4739,y,Coffee shop,Seats,20,Restaurant,2007-05-18T07:00:00.000Z,2018-12-08T08:01:04.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
1297,-122.9795664,49.19847332,1297,000-066-524,110126,32700,026-776-693, ,7585,MARKET,CROS,, ,7501 MARKET XG,BCP25486,155B, , ,N,N,N,,BUS07-01186,Approved,,000-066-524,STARBUCKS COFFEE #4821,y,Coffee shop,Seats,20,Restaurant,2007-05-18T07:00:00.000Z,2018-12-08T08:02:45.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
1371,-122.89587,49.25124039,1371,100-001-652,1017646,43235,003-237-028,150,9855,AUSTIN,RD,,150,9855 AUSTIN RD,NWP36145,4,,79,N,N,N,,BUS07-01911,Approved,,100-001-652,TIM HORTONS,y,50 seat,Seats,50,Restaurant,2007-09-27T07:00:00.000Z,2018-11-30T08:00:51.000Z,2019-12-31T08:00:00.000Z,Approved,474722 BC LTD
1385,-122.9182228,49.27644901,1385,000-074-853,112962,39922,028-300-131,AQ,8888,UNIVERSITY,DR,,AQ,8888 UNIVERSITY DR,BCP45523,31,,1,N,N,N,,BUS07-02012,Approved,,000-074-853,RENAISSANCE COFFEE,n,Coffee Shop,Seats,0,Restaurant,2007-10-17T07:00:00.000Z,2019-01-01T08:03:31.000Z,2019-12-31T08:00:00.000Z,Approved,PARMINDER PARHAR
1415,-122.9735212,49.19889486,1415,000-075-081,109847,39311,026-734-991,400,5761,MARINE,WAY,,400,5751 MARINE WY,BCP24486,155B,,1,N,N,C,3814-5751-5000,BUS08-00026,Approved,,000-075-081,STARBUCKS COFFEE #4873,y,Retail cafe - 46 seats (32 indoor & 14 outside on patio),Seats,46,Restaurant,2007-11-28T08:00:00.000Z,2018-12-08T08:01:54.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
1538,-123.0065212,49.2813012,1538,000-069-571,111623,5970,027-365-751, ,4359,HASTINGS,ST,, ,4351 HASTINGS ST,BCS2723,121, ,43,Y,N,N,,BUS08-00850,Approved,,000-069-571,CAFFE ARTIGIANO,n,Coffee shop,Seats,33,Restaurant,2008-03-19T07:00:00.000Z,2018-12-05T22:35:28.000Z,2019-12-31T08:00:00.000Z,Approved,CAFFE ARTIGIANO LTD
1578,-122.9821971,49.26417385,1578,000-069-713,111625,30846,027-307-191,104,2201,HOLDOM,AVE,,104,5601 GORING ST,BCS2622,125, ,4,Y,Y,N,,BUS08-01131,Approved,,000-069-503,STARBUCKS COFFEE #4923,y,23 indoor seats/21 outdoor seats,Seats,44,Restaurant,2008-05-08T07:00:00.000Z,2018-12-08T08:01:01.000Z,2019-12-31T08:00:00.000Z,Approved,STARBUCKS COFFEE CANADA INC
